,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10,119895.50615489091,110383.6877600076,80629.44194080471,63005.913732120265,65139.48977250124,59804.37175035933,61895.25797016447,60786.4752031146,56117.47046390129,52075.501417138206,51185.55773110468,52419.069145651796,50790.27219086522,56347.094107736426,57166.462439064,54893.024061449636,53059.39680486568,62450.80586290645,58123.87198133398,48545.89618009805,59735.04564265043,61455.10811676207,58269.97608475139,65030.11897707008,63177.720408781184
11,16977854.157477204,16682867.905700525,16144470.09878654,15847576.560528228,15772805.337995425,15925380.50986941,16246997.016936935,15947688.734958138,15804153.49063683,15466705.024610765,15491305.396610174,15644477.870852375,15513002.858506855,15773109.59552837,15758850.54562954,15639022.538365252,15605447.337267788,15428437.709749902,15099226.821332587,14009389.461227026,14331206.801084075,13864181.865091475,13666022.309107218,13393527.874335093,12838261.285020653
12,213492.55346573133,206717.65321648962,202499.7105929621,209250.83071003406,225773.9827122259,215137.02452596973,232528.15339511802,228293.58815181532,217305.76607614147,215427.06319442173,209719.5258806116,225666.83338373745,232941.36959490625,255384.45697814712,244035.2102218698,208402.00464611745,241971.50692259762,237405.38996940892,213763.4558751884,202820.88556562425,227601.0110816573,203928.11589693272,187045.0180624897,189670.09177015626,177163.05133401172
13,1649186.6312137228,1727636.9353548558,1694224.3022803927,1626500.9188991904,1623706.329533737,1648198.3625187632,1692845.1959997762,1673109.8968427978,1721827.203686291,1682767.1256895582,1671138.5657252956,1671242.294260676,1653604.5910065882,1673291.5098254678,1665297.4677397215,1675381.9797479296,1640237.138180937,1613736.55006479,1593274.7680206257,1531903.197959224,1557851.5997468743,1475731.7351717094,1479778.574671033,1474470.4259190862,1394205.1176813042
14,3749485.94610387,3609657.7678673686,3458700.9846251374,3431024.7069173967,3372772.5988892713,3362831.7144026686,3416302.9743412817,3312731.261074466,3235930.5061327214,3136259.1269779783,3129883.3029488125,3174210.3078817525,3110827.315912113,3101182.9676025333,3051882.08881692,2975546.0612445683,2997131.701208072,2915994.9786449717,2921826.5139758713,2719269.0861768657,2823116.073692196,2765489.2305978118,2779015.0849207826,2835452.8439888875,2705291.816407869
15,314149.4762495156,314303.5338866369,318052.61577842967,316695.9632356114,325207.6752964709,332112.3338473591,341529.1373708638,356047.360596942,372866.68153373967,373387.9321464485,382711.81503575353,384746.0474634954,384482.9946697046,394965.5503186081,396858.07071009337,407772.67832481256,396195.77002372185,404558.5268259304,393599.8555921889,374091.58590177307,355879.5525683038,346730.3498713016,336259.3092720962,313692.09374788165,303894.5522544387
16,282401.91577535257,261903.2040147543,231936.5147993856,234404.6621335473,231078.35222868266,227117.34063786484,234047.8933589691,229661.4239979294,228201.1670665194,229831.4872264723,220670.07810774984,227038.04394170872,222460.7345890161,231577.2017341236,228379.3998876531,227799.8311186877,224640.9156959536,219274.85883990274,214021.1101013889,195248.77054307587,196571.06861866926,191424.04248564952,180320.69991842247,172661.4999073955,171675.46583168578
17,10900.674026681185,10390.31337087348,10025.961719171548,10177.689175154821,9985.113059680982,10167.002905123798,10416.551650316369,10832.573971998725,11264.323094240854,11942.548024047994,11888.318419396976,11734.050727609085,11810.703015141418,11755.778089182208,11820.364246948076,11693.063513087642,13362.104957772572,14144.454925599724,15421.008490210283,14567.316927202475,14191.05428917203,13560.662590730493,13651.21043935458,13603.988504631634,13790.541988299807
18,168344.22426027473,170557.3181641832,170507.63686568695,171331.328402796,175188.36616495554,179454.89105779093,185841.1574127284,190382.36093898726,197845.7761208337,201270.18050317073,207827.66490909125,214023.4948026217,207956.46646099066,208695.1007829637,206644.17423874926,211038.7418260102,209224.40565499983,207074.11004589358,205198.2039769261,188433.33894370825,186769.3161545948,174455.2616941478,175930.80312440192,175509.94204075742,174631.98118178052
19,1565761.801585171,1570469.4264473696,1559948.335214227,1540834.8550236416,1516699.6160823568,1600349.305717071,1580476.607115401,1598219.7911642068,1631401.2906190031,1648485.6914677175,1663437.8692372204,1684800.9826997104,1685663.8572836255,1734379.1048349454,1742176.7404796574,1736713.3209145681,1707164.4136501597,1683412.7582921518,1648358.18722407,1496683.9653102031,1525272.2949158996,1484368.7536951522,1406153.7475280794,1316662.1086637368,1255761.6445584276
20,3812228.844491578,3842813.0973349195,3883213.807959235,3857629.965458332,4074803.033965563,4139773.632675668,4179328.3145119837,4169720.981221855,4037520.715192042,4103658.267707698,4160141.5305022476,4076146.52385654,4170993.423377372,4178106.437368891,4168779.563357818,4191305.4568403657,4133585.8166190838,4238385.222715473,3981505.585669255,3753010.750647062,3914707.9262138368,4063848.021633872,4171019.917781277,4223649.676605112,4091586.9153753263
21,79105.34816950295,73160.41150856589,58788.785562326375,48485.749967790594,42768.21139609688,38509.12929262767,38660.49174637234,36968.6102775957,35435.350448478384,33056.95909413589,31329.263190484315,33128.37765615362,33043.323289754146,33514.852259506115,33486.16366123813,34144.52472669042,35701.20217544787,37095.05776326004,35827.520990894336,33668.73988303525,37088.057018949024,34882.86348975047,34554.00937234259,34322.47356248334,34139.474885198884
22,458.3545013554732,473.2988615535462,473.76571182501146,488.01978633879617,461.15867602572035,468.64374632972834,473.6581590541958,498.6839463218052,520.6762624898381,514.8007365718805,496.34909337256994,495.3100119215223,508.1687662161666,528.558322893788,529.8140743772118,531.6570215955973,538.4719185509305,480.3585870392379,520.6933935970277,491.5179969737116,462.46495990040665,437.2103891773157,456.38635192929183,469.81386049199034,408.8324983363928
23,144570.84606328225,150701.31169828254,91340.47067472867,73644.91315463549,69703.73973829261,67201.5259190022,70404.71282330275,68913.32058674315,71704.13965479718,63699.219536136574,58815.85297446575,61696.195731552274,62957.85029233836,63609.04172057048,65953.23363665766,69108.41487564606,70135.34654915365,76057.05315849147,73183.59201856347,59807.757227631875,62265.40415953645,63763.37253719878,63338.02914022768,59552.48686396711,59333.249418454776
