,loss,mae,mse,val_loss,val_mae,val_mse,epoch
71,4779091456.0,39474.76953125,4779091456.0,151165960192.0,218603.828125,151165960192.0,71
72,4725579264.0,39243.046875,4725579264.0,145169137664.0,213044.25,145169137664.0,72
73,4674635264.0,39069.578125,4674635264.0,140221595648.0,208018.859375,140221595648.0,73
74,4634045952.0,38905.71875,4634045952.0,136622907392.0,204993.640625,136622907392.0,74
75,4587382784.0,38669.11328125,4587382784.0,134324985856.0,204390.21875,134324985856.0,75
76,4538558464.0,38376.37109375,4538558464.0,132246339584.0,204877.515625,132246339584.0,76
77,4489466368.0,38065.18359375,4489466368.0,130851414016.0,205356.15625,130851414016.0,77
78,4447934976.0,37789.203125,4447934976.0,129265655808.0,204458.046875,129265655808.0,78
79,4403734528.0,37549.46484375,4403734528.0,127075868672.0,201946.875,127075868672.0,79
80,4350127616.0,37334.95703125,4350127616.0,125077282816.0,198983.578125,125077282816.0,80
81,4313507840.0,37186.4375,4313507840.0,123159552000.0,196833.71875,123159552000.0,81
82,4271013888.0,36997.5859375,4271013888.0,121553240064.0,196229.78125,121553240064.0,82
83,4214098688.0,36736.75390625,4214098688.0,120048574464.0,196289.296875,120048574464.0,83
84,4174024960.0,36524.3125,4174024960.0,118973341696.0,196220.546875,118973341696.0,84
85,4135909632.0,36315.99609375,4135909632.0,117669650432.0,195165.375,117669650432.0,85
86,4090551296.0,36112.48828125,4090551296.0,116131807232.0,193258.640625,116131807232.0,86
87,4039289600.0,35913.07421875,4039289600.0,114984157184.0,191516.484375,114984157184.0,87
88,3985707776.0,35704.171875,3985707776.0,114701180928.0,190959.921875,114701180928.0,88
89,3951711488.0,35531.1796875,3951711488.0,114668158976.0,191654.875,114668158976.0,89
90,3911688960.0,35318.34765625,3911688960.0,114719268864.0,192824.96875,114719268864.0,90
91,3861889024.0,35057.87109375,3861889024.0,113813209088.0,192714.75,113813209088.0,91
92,3807306496.0,34806.47265625,3807306496.0,111738871808.0,190622.78125,111738871808.0,92
93,3766565632.0,34694.890625,3766565632.0,109300539392.0,187554.59375,109300539392.0,93
94,3722048768.0,34585.96875,3722048768.0,107734302720.0,185373.078125,107734302720.0,94
95,3679362304.0,34438.98828125,3679362304.0,106726932480.0,184808.703125,106726932480.0,95
96,3636876032.0,34266.43359375,3636876032.0,106972250112.0,185946.015625,106972250112.0,96
97,3592297472.0,34033.21875,3592297472.0,107606351872.0,187214.046875,107606351872.0,97
98,3557989376.0,33819.62109375,3557989376.0,107926822912.0,187934.46875,107926822912.0,98
99,3519866112.0,33629.44140625,3519866112.0,106862206976.0,186923.84375,106862206976.0,99
100,3483425536.0,33527.76953125,3483425536.0,105371803648.0,184945.328125,105371803648.0,100
101,3445942528.0,33463.23046875,3445942528.0,103685619712.0,182459.171875,103685619712.0,101
102,3410464512.0,33388.27734375,3410464512.0,103062904832.0,181440.59375,103062904832.0,102
103,3373779712.0,33247.70703125,3373779712.0,104773779456.0,183518.953125,104773779456.0,103
104,3331181568.0,33018.046875,3331181568.0,106828447744.0,185883.671875,106828447744.0,104
105,3297912064.0,32788.09765625,3297912064.0,107087290368.0,186315.453125,107087290368.0,105
106,3264504576.0,32601.892578125,3264504576.0,104848211968.0,184135.765625,104848211968.0,106
107,3223475456.0,32457.9296875,3223475456.0,102643613696.0,181638.390625,102643613696.0,107
108,3189966080.0,32359.708984375,3189966080.0,101559631872.0,180251.71875,101559631872.0,108
109,3154525952.0,32219.458984375,3154525952.0,102000828416.0,180667.953125,102000828416.0,109
110,3118512384.0,32032.763671875,3118512384.0,102375841792.0,181101.953125,102375841792.0,110
111,3092514048.0,31866.705078125,3092514048.0,101652373504.0,180629.375,101652373504.0,111
112,3055277056.0,31669.939453125,3055277056.0,99316678656.0,178579.140625,99316678656.0,112
113,3017925632.0,31513.3359375,3017925632.0,96155779072.0,175486.859375,96155779072.0,113
114,2986097408.0,31390.404296875,2986097408.0,94195621888.0,173610.109375,94195621888.0,114
115,2954006528.0,31236.599609375,2954006528.0,93528309760.0,173147.203125,93528309760.0,115
116,2918940672.0,31034.783203125,2918940672.0,93561069568.0,173317.609375,93561069568.0,116
