country_or_area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,119895.50615489091,110383.68776000761,80629.44194080471,63005.913732120265,65139.48977250124,59804.37175035933,61895.25797016447,60786.4752031146,56117.47046390129,52075.5014171382,51185.55773110468,52419.0691456518,50790.27219086521,56347.09410773641,57166.462439064,54893.024061449636,53059.39680486569,62450.80586290645,58123.87198133397,48545.89618009805,59735.04564265043,61455.10811676207,58269.97608475139,65030.11897707007,63177.720408781184
European Union,16977854.157477204,16682867.905700523,16144470.09878654,15847576.560528228,15772805.337995423,15925380.50986941,16246997.016936935,15947688.734958138,15804153.49063683,15466705.024610763,15491305.396610174,15644477.870852377,15513002.858506856,15773109.59552837,15758850.54562954,15639022.538365252,15605447.337267788,15428437.709749902,15099226.821332589,14009389.461227024,14331206.801084075,13864181.865091478,13666022.309107218,13393527.874335093,12838261.285020653
Finland,213492.55346573138,206717.65321648962,202499.7105929621,209250.83071003412,225773.98271222587,215137.02452596973,232528.15339511796,228293.58815181526,217305.76607614147,215427.06319442173,209719.52588061153,225666.83338373745,232941.3695949062,255384.45697814712,244035.2102218698,208402.00464611748,241971.5069225976,237405.38996940886,213763.45587518837,202820.8855656242,227601.01108165726,203928.11589693272,187045.01806248963,189670.09177015626,177163.05133401172
France,1649186.6312137228,1727636.9353548558,1694224.3022803927,1626500.9188991904,1623706.329533737,1648198.3625187632,1692845.1959997765,1673109.8968427978,1721827.203686291,1682767.1256895582,1671138.5657252956,1671242.294260676,1653604.5910065882,1673291.5098254678,1665297.4677397215,1675381.9797479296,1640237.138180937,1613736.55006479,1593274.7680206257,1531903.1979592242,1557851.5997468745,1475731.7351717094,1479778.5746710333,1474470.4259190864,1394205.1176813042
Germany,3749485.94610387,3609657.767867369,3458700.9846251374,3431024.706917397,3372772.5988892703,3362831.7144026686,3416302.9743412817,3312731.261074466,3235930.5061327214,3136259.126977978,3129883.3029488125,3174210.3078817525,3110827.315912113,3101182.9676025333,3051882.08881692,2975546.0612445683,2997131.7012080722,2915994.9786449717,2921826.5139758703,2719269.086176866,2823116.073692196,2765489.2305978113,2779015.0849207826,2835452.8439888875,2705291.816407869
Greece,314149.4762495156,314303.5338866369,318052.61577842967,316695.9632356114,325207.67529647093,332112.3338473591,341529.1373708638,356047.360596942,372866.68153373967,373387.93214644847,382711.81503575353,384746.0474634954,384482.9946697046,394965.55031860806,396858.07071009337,407772.67832481256,396195.77002372185,404558.52682593034,393599.8555921889,374091.58590177307,355879.5525683038,346730.34987130156,336259.3092720962,313692.09374788165,303894.5522544387
Hungary,282401.91577535257,261903.2040147543,231936.51479938562,234404.66213354733,231078.35222868266,227117.34063786484,234047.89335896907,229661.4239979294,228201.1670665194,229831.48722647224,220670.07810774984,227038.04394170872,222460.7345890161,231577.20173412358,228379.39988765307,227799.83111868775,224640.91569595356,219274.85883990274,214021.1101013889,195248.77054307584,196571.06861866917,191424.04248564955,180320.69991842244,172661.4999073955,171675.46583168578
Iceland,10900.674026681185,10390.313370873479,10025.961719171548,10177.689175154821,9985.113059680982,10167.002905123798,10416.551650316369,10832.573971998725,11264.323094240854,11942.548024047992,11888.318419396976,11734.050727609083,11810.703015141418,11755.778089182206,11820.364246948076,11693.06351308764,13362.104957772572,14144.454925599724,15421.008490210284,14567.316927202475,14191.05428917203,13560.66259073049,13651.210439354581,13603.988504631634,13790.541988299809
Ireland,168344.22426027473,170557.3181641832,170507.63686568692,171331.328402796,175188.36616495554,179454.89105779096,185841.15741272838,190382.36093898726,197845.7761208337,201270.18050317073,207827.6649090912,214023.49480262175,207956.46646099063,208695.10078296377,206644.1742387493,211038.7418260102,209224.40565499983,207074.1100458936,205198.2039769261,188433.33894370825,186769.31615459477,174455.2616941478,175930.8031244019,175509.94204075742,174631.98118178052
Italy,1565761.8015851707,1570469.4264473696,1559948.3352142267,1540834.8550236416,1516699.6160823568,1600349.305717071,1580476.607115401,1598219.791164207,1631401.2906190027,1648485.6914677175,1663437.8692372204,1684800.9826997102,1685663.8572836255,1734379.1048349454,1742176.7404796577,1736713.3209145681,1707164.4136501597,1683412.758292152,1648358.18722407,1496683.9653102027,1525272.2949158996,1484368.7536951522,1406153.7475280794,1316662.1086637368,1255761.6445584276
